;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;02/09/2020;;;
Artículo;20012.01;;;GPOL CARVEDIL 12.5;;;;;;;;Nro Formula;;203;;;
Versión;std     ;;;Cantidad;;70,00;kg      ;;Lote Mínimo;70,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;1;;;;MEZCLA;;;;;;100014;;CARVEDILOL;;g       ;4.375,00;
1;1;;;;MEZCLA;;;;;;100082;;EXCIPRESS SD2L;;g       ;36.925,00;
1;1;;;;MEZCLA;;;;;;100017;;VIVAPUR PH 200;;g       ;23.800,00;
1;1;;;;MEZCLA;;;;;;100024;;VIVASOL GF;;g       ;2.800,00;
1;1;;;;MEZCLA;;;;;;100068;;TALCO;;g       ;700,00;
1;1;;;;MEZCLA;;;;;;100030;;ESTEARATO DE MAGNESIO;;g       ;1.400,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;1; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;08/09/2020;;;
Artículo;20012.02;;;GCOM CARVEDIL 12.5;;;;;;;;Nro Formula;;206;;;
Versión;std     ;;;Cantidad;;350.000,00;Uni     ;;Lote Mínimo;0,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;4;;;;COMPRESIÓN;;;;;;20012.01;;GPOL CARVEDIL 12.5;;kg      ;70,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;2; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
Empresa;01;;;Noas Farma Uruguay;;;;;Formula Activa;S;;Fecha Alta;;08/09/2020;;;
Artículo;20012.04;;;GBLI CARVEDIL 12.5 X 10;;;;;;;;Nro Formula;;208;;;
Versión;std     ;;;Cantidad;;35.000,00;Uni     ;;Lote Mínimo;0,00;;Lote Máximo;;0,00;;;
Observaciones;;;;;;;;;;;;;;;;;
Nro. Paso;Etapa;;;;Nombre;;;;;;Componente;;Nombre;;Unidad;Cantidad;
1;6;;;;BLISTEADO;;;;;;20012.02;;GCOM CARVEDIL 12.5;;Uni     ;350.000,00;
1;6;;;;BLISTEADO;;;;;;1100012;;ALUMINIO IMPRESO CARVEDIL 12.5;;kg      ;18,20;
1;6;;;;BLISTEADO;;;;;;1110000;;PVC CRISTAL ANCHO 161 mm ESPESOR 250 micras;;kg      ;91,00;
Fecha de emision : 27/11/2023 13:56  -  Usuario : vgomez  -  Base : Noas  -  Terminal : DESK;;;;;;;;;;;;;;;3; | 240;
;;;Noas Farma Uruguay;;;;;;;;;;;;;;
;;;FORMULAS PRODUCTIVAS;;;;;;;;;;;;;;
